Madison,140,1010,10
Hamilton,112,937,15
Holder,244,944,40
Joline,126,891,20
Campbell,220,890,20
Blair,156,814,20
Buyers,226,784,10
Witherspoon,287,775,35
Lockhart,137,726,30
Foulke,147,653,35
Henry,159,573,30
Laughlin,220,630,30
1901,220,560,25
Little,260,684,35
Pyne,240,455,25
Spelman,240,365,40
Fisher,350,335,25
Wendell B,320,291,30
Wendell C,360,255,15
Hargadon,290,233,10
Lauritzen,290,193,10
S Baker,335,169,20
1981,400,163,25
Edwards,365,700,15
Dod,412,630,35
Brown,477,542,30
Cuyler,490,473,15
Wright,460,430,20
Patton,466,377,15
1903,547,467,25
Walker,517,412,20
Feinberg,582,422,10
1937,610,420,20
1915,485,293,25
Gauss,528,330,10
1939,560,360,15
Yoseloff,545,215,20
1967,566,144,25
Bloomberg,550,96,35
Bogle,604,187,20
1976,623,223,15
Wilf,655,172,20
Scully,690,138,40
1938,656,266,20
Dodge Osborn,640,360,15
Clapp,626,307,10
Frist,770,492,50
"Bio labs (guyot, etc)",785,346,20
Jones,677,474,20
Woolworth,722,581,15
Architecture,711,690,15
Firestone,663,937,90
