Total Print Distance,X-Printer 1,Y-Printer 1,X-Printer 2,Y-Printer 2
342638.584575,331.544748684,111.643058084,476.337081488,502.684714973
432308.949094,79.7391725969,99.3940128067,212.735731109,593.407755176
462186.474841,427.745634357,770.122090235,624.669329736,828.564302101
295674.22666,504.997961254,363.833058407,344.478727842,1001.25078867
309829.537972,559.009669041,216.866197935,463.27225957,496.595663479
375865.671792,299.037097721,484.150285289,27.3411792897,695.910560194
337178.888109,304.562237367,419.03949718,354.929211848,971.534166896
335756.313148,541.639573161,493.472659699,552.888446286,890.417480437
321849.19216,332.849462509,235.856819168,166.507655311,625.758723339
564042.67493,322.606735927,920.664591061,545.467130161,936.150548047
453696.018548,109.981476358,662.156240037,772.106640532,846.870144663
432793.223228,159.412540756,263.050094081,143.195772472,929.600879537
352309.343485,563.152684115,511.202653486,555.545589073,776.976827177
286173.51189,588.629806278,270.28546065,423.325481407,582.851216256
373857.245222,501.472574677,172.657307833,629.538317622,435.128966634
403442.545908,457.626176374,173.873628304,701.929402133,423.888916714
291016.539829,204.833950906,663.462630219,724.091362027,333.197414898
459610.962371,53.8123037452,673.102213593,476.462032926,806.592049954
394498.787788,682.825513905,621.631929701,101.284736672,925.857581726
365770.456312,561.072999911,115.197912017,609.922485421,462.991904744
447038.196131,256.28801853,282.064845783,671.88849301,4.29126573299
413786.717705,349.277524207,716.323310676,660.224171452,842.988331769
360272.333494,400.74468941,373.870626691,493.977121062,361.504954695
463319.341069,78.8429879087,506.457980754,322.880810542,887.467679532
293824.891663,255.765313494,489.028896181,559.511699504,363.144835655
446267.442565,59.1298970847,494.719541868,694.016535732,775.808863685
430101.358564,19.2456565566,452.291135742,262.476961962,414.222609967
447386.212129,65.5353114758,451.098641909,230.166518069,720.449722496
544684.097786,440.775023947,102.268506752,717.839415278,94.2878402556
445211.420708,100.431422067,277.662165872,142.398198856,657.037686637
429024.527921,295.801871936,277.953070771,586.702753825,38.9911685398
568728.834483,149.878781239,782.894205204,13.2954574583,908.292660038
347049.419882,366.678125095,548.252345761,407.734670285,819.264070482
353425.431466,602.258630982,475.655435626,574.968887933,978.24819005
324250.309795,368.396966137,506.062756611,337.645542736,771.74067172
668586.459998,97.573740415,41.6908505882,55.1205842208,235.006517602
374605.967184,257.921592578,99.2523477565,577.014410215,509.382854406
336141.102626,158.730583033,527.573919831,551.549309922,586.461725534
371772.716226,529.867563378,108.625837519,59.6760009262,936.096391922
419205.873587,0.861235039682,400.099377161,293.935312285,608.896886139
384303.848517,97.1099594649,410.579318326,778.418653217,331.561279989
511367.261025,54.6886330036,633.389010968,589.434260736,983.74623541
364206.788723,235.688615353,45.9873332173,470.872453636,511.138227782
