Total Print Distance,X-Printer 1,Y-Printer 1,X-Printer 2,Y-Printer 2,X-Printer 3,Y-Printer 3,X-Printer 4,Y-Printer 4
265306.80289,388.995172965,282.530123031,547.793801422,81.8987165041,502.529570299,556.63705502,675.819481487,485.122265965
232457.490846,430.039760377,139.718899543,550.301135014,501.006467711,778.494195379,93.9247765482,325.319934813,863.668761124
311448.698771,64.60819421,40.891212174,373.930638244,101.542555347,131.261393203,468.181829302,458.678724505,809.982439367
324601.912041,441.362451133,627.840890264,309.025402611,727.694366152,572.789197046,690.843862142,239.215172992,948.339175383
268398.13347,227.888603981,278.198837872,471.331981982,174.349268289,598.979028709,52.5689590861,166.009535324,818.784976205
285206.552438,202.415310736,326.995222839,479.370814331,343.045057366,612.322819507,525.631910396,744.533025229,791.567388641
246616.476158,408.707532406,3.63485012873,414.867935889,319.715901435,87.6868369364,615.405226934,697.020974612,627.868171484
235729.373109,402.208008441,158.353512697,492.034675268,468.312530283,732.344176995,271.020279505,444.775005542,833.204956815
379486.061577,21.0017154788,26.0086804019,773.621007749,464.109041162,755.743321651,749.53088996,438.772394006,994.28962307
246164.911568,451.559033379,198.082187016,350.289980797,580.307752596,107.575405186,807.127870103,183.108453672,960.067073751
386173.355371,166.69945075,103.469682558,133.941502087,494.210612998,657.079203951,929.468533734,769.907998147,942.5403293
247344.295423,358.211969205,409.201556123,438.626784943,512.93577574,689.696648369,101.625065626,476.436879171,809.067843394
236317.293963,210.565716976,209.094458236,414.386461364,329.296168755,203.213214669,645.192674352,784.053949994,329.692440083
309383.398302,88.1506811908,45.9688389766,260.939820199,250.742706455,271.882901575,572.564037637,378.643697347,692.374153414
281730.547441,147.240159879,478.325108608,521.657903889,7.61000701858,742.568798724,227.442376295,97.2875471849,812.621616359
317133.440858,41.6336154763,789.700609858,293.334089639,761.74167109,237.18429234,850.617460563,777.316869967,471.474099909
279836.781946,388.402229533,194.323635229,60.5796341265,530.194850499,708.05961199,493.491102163,713.461383245,489.606089067
366523.48328,197.319981387,93.0219791084,489.590524059,151.701641057,630.947223451,946.750934805,613.648831202,985.099583454
239094.679977,92.9294208082,315.323810366,560.067082452,306.244527787,65.928489125,922.226623659,481.409283785,823.823384224
251534.938381,53.2754576074,289.637071847,470.985775271,347.746556035,273.253296988,559.206057609,73.3329696283,892.026670296
300171.74853,21.1156681812,188.805708019,370.797355301,437.3649316,329.801377731,905.045249005,219.294198737,970.505754283
406143.818699,195.261522456,95.402888934,412.048651532,7.61075793649,534.453722526,86.6721727193,723.638214291,450.509679289
344514.172195,65.6079128171,56.3895716418,175.327754491,282.029291028,635.069454712,717.222348513,324.306187128,983.346475261
322223.165673,459.376291704,642.492561325,75.0283271682,829.282872309,610.825100571,624.136243689,562.019220504,940.742961134
299547.689411,79.0447548982,218.558573447,312.236606518,788.712197971,639.990343656,593.951787522,433.371679157,865.790731995
277641.25428,526.315744289,242.166080238,578.925170085,413.737185889,738.089214661,708.600136975,528.661806261,966.711889322
303107.113965,573.08922386,40.1031649191,160.338612046,649.924670621,136.912851718,780.378582272,242.828319685,827.74926804
271970.409069,95.5609100891,241.37225551,641.519127652,325.9182043,584.982084615,436.333242648,472.715971483,948.036224026
249345.872133,266.903684034,470.618772061,446.99763861,390.498216434,343.174933132,531.167684588,358.902846697,842.439655242
265319.302102,391.605641149,143.38576259,297.304043932,333.292185683,606.035186863,449.418230999,488.549724711,583.089762031
363466.776471,16.7502158097,293.33341961,108.593605198,367.917669207,381.545046448,79.4585114999,177.810228692,977.375864218
279498.210206,164.043533999,23.5893653492,381.89889547,447.071858723,78.6033566158,909.24355315,592.047393631,809.268862005
299647.452731,90.7939303559,194.067520183,52.2286591878,486.680219353,569.278064335,59.1089411888,659.241824282,614.77179326
240144.492907,448.686515988,86.5002123875,438.601335788,586.310595003,339.016806073,752.592820388,737.377268603,919.95806243
309734.544381,93.3239079183,58.8866232254,49.7493476796,204.332388909,131.100007589,575.164455923,488.61757757,521.434397385
291113.437716,39.0597851135,217.083121398,387.516045997,198.34272806,375.902251187,896.547994777,658.682530383,962.097742594
443056.243396,225.104081264,71.1494115854,372.120680217,12.7642173486,385.891547721,50.9058400057,766.55546737,506.16595929
241391.643868,537.587738017,446.518445943,410.24099941,685.703815908,270.563084398,867.372860578,663.469788687,706.751816593
368029.310358,151.356758079,546.032564295,186.385529353,629.263007372,34.1101344809,750.341440286,644.684797365,783.841319669
267240.856185,55.5568597993,259.341787352,374.830986099,389.66633685,129.847808814,723.099609013,326.429488956,895.345828129
317867.62774,139.285285469,193.43750618,60.5953231591,552.059564057,284.97847741,873.41448132,775.888544709,645.3024616
377662.403915,108.456910908,388.592466831,511.709408335,105.027461676,701.544597989,179.309318032,780.456277173,116.965012823
239164.004337,348.893514197,218.147756336,646.682643903,254.573702911,372.326468694,936.235152893,720.780739324,850.425625422
377954.964778,194.926792414,140.254851005,256.164497717,140.650467294,41.0137655321,411.60720468,685.292902459,778.694184456
274537.215581,263.432687312,202.549989234,311.78070926,275.705653501,423.190338384,598.921434694,765.817846944,148.240890489
