Total Print Distance,X-Printer 1,Y-Printer 1,X-Printer 2,Y-Printer 2,X-Printer 3,Y-Printer 3,X-Printer 4,Y-Printer 4,X-Printer 5,Y-Printer 5
259037.316223,356.779204988,1.9748059602,446.393618248,227.635384814,190.123564573,516.476029148,138.96524705,915.380227205,160.357780192,1009.27557733
199311.128774,252.051999953,405.406729939,622.027280243,278.936484142,203.278338877,818.564865369,34.0410441706,951.243335442,452.161279759,925.576367365
221807.329876,158.501662177,259.704483378,555.542735826,281.262687281,629.200569451,101.931634695,61.8425935584,894.718754059,598.588265362,950.241904699
250091.415803,273.986276026,261.315830133,150.076499056,732.860614952,388.935314686,646.634158927,536.515274904,797.356595247,116.238705259,979.369048543
261926.622511,63.49249334,86.3242409853,117.735170363,328.27356696,145.006181936,404.949906708,330.771904848,690.059219519,731.55421583,252.687956107
219921.859244,310.942409481,145.713755806,558.138882361,240.304549787,390.917859271,697.825821559,756.058466001,268.4564647,372.048754778,834.809408633
273646.269191,97.1739778591,719.270167617,744.553151631,262.636059261,762.44883768,582.707402624,340.781811393,980.735518963,291.691027877,1006.75396454
206304.152464,37.0134556691,215.392731978,211.1597261,537.152829665,546.404667501,379.423235876,238.395430017,933.921549955,468.801413057,991.596299737
249847.174724,12.198132878,36.1322932212,372.27078766,232.503687796,445.651559087,157.288631536,254.445545627,501.406463462,273.042262725,757.880115432
262831.775978,96.8208506928,236.415166373,120.641943695,416.944244101,319.986488581,607.420312595,557.432893936,495.798745677,726.598529657,604.452108727
245871.930921,260.177838476,204.763310732,410.377396012,451.021481887,445.842090241,481.991595208,178.396904508,645.688175739,411.272302765,668.52104237
295199.373716,309.409714573,263.561733341,448.039537938,181.837197678,501.388802173,201.453206267,615.621811897,837.518463534,736.693109316,805.428340445
326492.819634,271.501557302,331.395441473,441.791765079,902.508225837,365.925828733,939.896349218,519.955408918,900.730079379,485.90387185,1005.16517294
274495.994455,110.345082658,225.521213026,342.611768316,231.237655799,338.91949065,411.651843078,656.04399522,675.640517451,468.611243694,991.833104727
313788.535765,164.788296301,269.398181435,397.490057277,69.9686924425,717.067407137,73.2173960237,776.031990522,708.252176384,570.601775145,925.499207142
